101,67,68,61,52,54,53,61,61,57,60,71,118
84,57,55,44,31,16,27,40,35,33,37,46,71
81,125,4,8,4,3,6,8,17,43,38,102,106
67,91,13,446,4,140,0,116,20,880,39,64,95
58,90,37,546,10,221,23,184,32,984,73,59,114
80,70,60,588,12,283,12,287,30,524,77,72,124
66,56,60,380,11,182,20,158,24,689,86,72,116
76,75,60,228,13,166,16,103,7,424,71,99,103
79,95,41,160,19,160,0,40,24,392,35,116,116
79,133,27,33,10,162,0,76,15,211,38,105,129
110,149,19,0,0,51,8,69,6,92,43,120,119
122,103,24,0,0,0,2,95,0,17,35,136,109
124,106,22,40,0,0,0,175,12,20,35,131,103
134,146,22,4,3,4,4,11,6,19,25,204,86
118,148,77,91,90,89,187,110,91,104,98,150,99
160,75,85,78,87,73,5223,80,106,84,86,100,180
