111,75,51,52,57,58,48,50,55,63,75,91,138
73,55,63,41,39,27,17,24,28,39,34,65,100
58,125,11,16,6,10,7,4,3,10,5,155,86
56,104,3,196,2,20,3,36,3,189,11,117,78
92,95,23,446,22,126,6,55,9,402,42,70,125
95,220,102,594,26,286,4,108,12,427,146,214,137
101,102,111,486,7,186,0,24,15,489,60,116,135
105,203,280,493,20,220,2,48,12,455,99,358,136
95,466,152,433,22,193,15,92,10,377,29,126,100
96,173,43,226,4,148,7,114,12,296,8,117,115
105,149,33,37,4,28,4,4,4,101,12,112,131
132,152,21,183,4,0,4,31,0,41,17,95,126
147,170,19,212,0,0,3,154,6,0,16,99,138
171,205,20,14,7,4,4,0,0,0,11,148,135
184,158,110,120,99,93,381,64,63,79,106,129,116
238,112,96,100,99,96,4200,77,105,96,98,119,210
