48,34,18,20,14,15,16,15,19,30,20,18,35
27,19,19,10,9,6,7,4,2,11,14,13,21
22,45,0,0,0,0,0,0,0,0,0,28,20
17,39,0,0,0,0,0,0,0,84,0,23,27
18,41,0,0,0,0,0,0,0,105,6,22,25
30,37,0,12,0,0,0,0,0,48,12,30,29
40,26,0,52,7,0,5,24,4,60,12,17,26
41,33,4,112,14,65,26,252,0,76,4,27,33
43,29,9,270,32,118,31,434,6,72,4,30,20
45,34,16,121,14,168,38,358,18,138,11,35,19
58,46,39,431,26,567,54,631,41,261,31,27,25
50,35,34,727,53,1251,103,1078,23,323,41,27,20
61,41,23,467,100,1673,192,1570,33,450,45,29,26
55,37,35,24,33,145,234,109,51,53,57,18,25
58,28,35,18,17,29,367,31,26,19,30,27,31
103,55,51,48,62,49,7800,51,44,45,51,46,54
