50,30,20,26,26,28,25,34,24,30,32,37,67
28,17,25,21,20,5,11,19,18,21,20,28,53
27,41,0,0,0,4,2,0,0,0,0,62,67
42,18,0,0,0,44,3,0,0,0,0,40,52
38,23,0,0,4,88,3,0,0,56,3,33,54
31,29,3,137,1,65,4,0,0,12,12,29,54
11,36,7,181,24,120,8,0,0,3,3,56,37
7,44,7,24,24,370,15,0,0,4,7,54,34
10,42,6,0,15,227,30,196,7,18,4,59,28
15,31,18,83,31,417,24,293,12,133,13,52,30
17,31,18,196,21,841,46,305,18,226,41,46,50
20,31,20,296,38,1423,104,633,14,399,60,28,36
29,18,27,210,71,1840,168,1166,71,472,52,22,46
44,10,41,85,80,132,815,213,62,69,105,23,42
49,27,80,38,57,169,2018,269,112,96,57,34,40
65,40,42,45,45,44,5760,72,61,58,65,62,78
