78,43,42,32,25,24,24,23,26,26,37,30,58
52,29,22,15,20,17,19,16,16,19,9,24,58
57,56,11,7,5,4,8,8,6,11,22,66,62
54,50,0,0,6,64,0,16,17,297,14,61,65
63,58,0,76,17,220,15,57,10,200,17,87,53
55,61,6,244,16,233,7,69,15,241,9,65,65
52,76,7,257,15,134,3,102,27,308,18,41,70
60,63,19,244,30,261,24,213,12,443,28,52,63
67,64,32,607,45,715,43,323,22,427,32,45,70
62,70,32,728,60,1142,77,504,52,569,39,52,69
76,74,55,533,49,1296,101,892,72,990,61,43,73
89,55,100,805,65,1938,243,1922,84,1011,79,88,70
93,63,85,1392,196,3284,329,3067,163,1449,74,98,59
100,48,102,70,107,205,432,224,71,73,46,65,66
80,48,71,70,46,84,647,78,65,87,55,65,75
121,95,105,100,111,100,12127,125,120,115,116,109,130
