497,320,274,229,221,233,221,222,245,241,229,227,424
296,173,153,117,226,539,195,133,122,145,141,225,334
301,354,60,68,63,399,92,71,62,89,112,373,287
295,252,40,658,54,985,53,956,50,1142,111,284,257
277,279,45,566,79,444,14,300,20,1033,109,559,265
283,244,60,606,44,119,10,367,27,885,598,638,243
284,255,79,675,21,367,10,281,12,864,180,468,252
329,348,105,1424,41,264,25,222,22,811,136,304,220
326,522,543,1512,54,674,37,946,42,738,113,293,255
327,594,244,785,32,713,46,1328,76,829,116,323,262
353,321,100,870,56,1101,129,1630,84,1207,133,261,288
356,338,109,1180,49,1389,118,1823,122,1729,145,291,287
371,383,114,1333,58,1134,171,3294,213,2236,176,314,276
470,537,162,103,110,113,197,2400,299,137,186,368,290
460,449,259,265,204,193,3768,965,528,252,278,330,318
599,333,327,283,268,267,16178,280,276,318,307,271,517
