340,218,252,231,182,180,182,171,168,166,175,172,344
244,144,109,77,106,104,80,96,108,105,125,146,268
204,240,68,32,37,98,74,54,54,68,122,303,223
173,218,52,567,75,826,80,752,52,610,79,210,217
176,247,76,762,70,866,72,879,50,857,99,195,214
172,255,93,1047,57,690,61,535,44,1015,170,193,237
188,260,117,1318,81,618,42,766,32,1014,176,193,252
254,217,195,1624,63,615,49,635,48,755,118,228,191
271,247,213,1786,40,594,62,648,43,902,125,237,200
281,296,135,1587,51,1371,80,1114,90,994,137,262,174
296,346,106,925,53,1336,132,1692,142,1276,140,281,178
302,365,83,718,62,1524,183,2754,205,2806,164,257,215
309,317,98,358,23,1643,249,4206,284,3431,212,248,213
408,466,145,60,37,65,215,487,268,211,249,309,235
445,447,263,241,228,226,872,449,215,214,215,237,244
638,313,223,224,227,224,20111,220,214,185,191,257,388
