445,299,272,264,269,219,209,198,207,195,195,181,360
276,240,180,130,112,386,240,99,110,84,108,155,256
282,374,28,42,107,420,60,59,53,58,90,349,292
282,329,33,1010,29,852,50,532,44,925,64,219,265
301,322,54,888,76,585,31,703,60,1123,128,270,264
313,314,60,754,42,295,26,724,73,1289,524,568,273
317,304,90,1107,42,445,9,391,78,1410,162,417,289
361,555,140,921,60,501,15,269,13,722,96,266,223
363,1109,763,1165,74,648,17,433,22,423,88,265,227
374,688,164,920,87,644,37,740,39,626,81,279,239
392,380,109,1098,77,963,87,1507,84,1028,98,310,214
396,334,92,1066,77,1089,104,2163,123,1216,118,260,246
417,342,84,997,100,1798,251,3629,184,1508,106,264,283
466,487,94,58,62,112,310,1594,325,134,154,340,280
537,525,320,259,250,239,3841,1432,651,205,238,279,269
579,294,247,249,233,210,17193,256,231,255,252,272,459
