345,211,208,184,166,174,167,171,183,197,207,215,405
186,155,143,88,250,396,265,140,82,98,146,188,270
177,259,37,43,39,592,209,80,81,114,134,390,268
167,199,38,560,61,1092,53,899,34,1031,101,251,264
185,216,36,631,71,719,76,695,38,1007,85,411,287
204,191,52,655,59,854,19,399,25,866,402,568,266
212,179,52,1203,65,473,45,487,36,721,198,291,253
247,355,110,1384,78,607,47,375,28,597,90,259,225
215,690,660,1322,47,671,56,618,27,691,112,270,195
275,558,135,1276,26,635,60,943,24,687,128,272,211
331,338,76,1056,27,1361,130,1660,77,957,111,248,219
346,336,72,903,53,1929,169,2651,93,1224,127,262,224
359,357,96,606,36,2011,239,3802,211,1902,155,274,213
407,575,111,44,45,102,272,1822,375,196,290,316,218
485,502,239,223,211,245,3454,1078,349,178,186,235,254
680,293,270,267,257,231,18215,182,184,184,192,242,399
