448,283,262,209,196,170,160,141,142,176,183,210,351
308,154,135,149,129,125,96,89,110,90,119,143,242
260,302,61,103,62,113,105,90,78,70,93,277,289
256,262,48,944,74,1099,69,984,45,787,70,165,302
252,240,88,1283,60,541,45,823,76,1126,99,210,261
259,239,86,1456,56,508,36,278,50,1452,197,210,262
286,210,92,1179,59,611,51,583,39,1640,149,233,247
300,213,137,1698,43,726,48,738,72,1473,135,243,234
314,285,186,1507,60,711,38,502,55,1722,144,262,200
312,362,113,976,34,813,56,998,78,1348,134,263,202
320,393,66,1046,59,1301,92,1947,80,955,138,246,204
370,413,58,922,60,1740,133,2742,144,919,163,232,211
403,357,64,875,67,1866,234,4363,237,1297,168,256,191
476,511,85,45,34,60,249,424,170,147,239,290,210
501,442,281,214,227,252,850,397,201,214,208,239,196
639,274,204,229,173,164,19668,140,146,156,165,201,312
