399,298,268,243,219,200,168,173,191,164,172,182,357
281,193,120,65,91,145,103,102,85,121,129,125,262
270,362,59,46,42,153,111,77,88,113,172,306,230
270,307,48,610,42,1049,78,1114,38,976,97,221,245
265,310,78,808,50,527,65,1023,36,1038,142,183,248
277,305,76,639,37,490,46,844,48,1581,162,184,280
319,306,105,1413,25,447,50,656,39,1259,136,190,302
327,238,143,1444,46,412,29,675,20,960,88,228,280
353,282,194,1611,34,632,35,925,59,602,123,311,250
390,369,104,1299,21,726,85,1360,57,761,108,321,235
353,372,73,1068,45,1266,93,2010,109,1165,120,292,272
386,387,81,551,58,1642,145,2702,180,1264,138,289,278
408,399,66,641,32,1455,219,4407,194,1138,146,308,294
468,537,92,29,44,67,214,455,132,96,144,349,357
505,513,313,265,238,210,863,424,246,223,253,258,327
744,306,267,272,283,297,20343,260,265,269,286,302,432
